Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,474,1024,10116,2,3,9,13,29,49,114,228,389,0,0
2,366,512,6680,2,3,7,19,40,64,110,191,0,0,0
3,424,512,7584,2,6,7,17,26,58,117,195,0,0,0
4,661,1024,14100,2,3,7,17,35,63,118,212,452,0,0
5,350,512,6224,2,3,7,14,34,68,113,247,0,0,0
6,540,1024,11648,2,4,8,12,27,62,105,223,466,0,0
7,388,512,7068,1,5,8,14,30,49,102,188,0,0,0
8,475,1024,10124,1,5,7,13,26,76,101,206,401,0,0
9,602,1024,12872,2,3,8,15,34,53,122,206,428,0,0
10,751,1024,15956,2,3,9,21,26,55,110,231,356,0,0
11,632,1024,12996,1,3,9,17,29,64,144,202,416,0,0
12,814,1024,17028,2,3,7,14,32,48,116,200,483,0,0
13,455,512,7924,1,3,9,17,42,56,112,209,0,0,0
14,649,1024,13640,2,4,8,15,31,64,121,207,430,0,0
15,434,512,8168,1,4,7,19,31,56,127,221,0,0,0
16,366,512,6640,1,4,10,17,32,48,105,226,0,0,0
17,430,512,7692,1,3,7,19,30,62,133,236,0,0,0
18,807,1024,17560,2,4,8,18,33,65,121,209,414,0,0
19,657,1024,13668,2,3,10,16,31,66,112,231,468,0,0
20,759,1024,15988,1,2,8,18,31,69,110,255,408,0,0
21,652,1024,13400,1,4,7,11,38,67,135,194,462,0,0
22,608,1024,12484,2,4,7,23,32,66,130,232,491,0,0
23,299,512,5324,1,5,8,14,32,53,124,191,0,0,0
24,591,1024,12240,1,4,6,13,27,60,121,215,487,0,0
25,803,1024,16988,1,4,8,17,38,63,117,250,424,0,0
26,565,1024,11764,2,3,8,15,31,48,133,230,487,0,0
27,648,1024,13620,1,3,7,16,44,52,98,226,463,0,0
28,567,1024,11704,3,7,9,21,35,67,123,196,428,0,0
29,342,512,6368,2,3,11,19,34,48,114,257,0,0,0
30,604,1024,12472,1,5,7,14,26,62,123,209,427,0,0
31,804,1024,16992,2,5,9,14,39,48,109,250,454,0,0
32,372,512,6812,2,3,9,16,31,58,122,244,0,0,0
33,842,1024,18840,2,5,10,17,32,56,117,210,373,0,0
34,740,1024,16056,2,4,8,12,31,54,125,223,429,0,0
35,438,512,7808,2,3,6,15,28,71,124,202,0,0,0
36,399,512,7288,2,4,6,18,29,49,105,231,0,0,0
37,393,512,7236,2,3,7,16,42,60,107,173,0,0,0
38,420,512,7588,1,3,7,16,34,62,126,219,0,0,0
39,435,512,7648,1,3,8,13,32,63,121,255,0,0,0
40,648,1024,13540,2,3,7,12,23,68,151,216,401,0,0
41,339,512,5976,1,5,8,16,33,63,114,215,0,0,0
42,763,1024,15932,2,3,6,14,33,57,111,200,460,0,0
43,905,1024,19624,2,3,6,15,34,67,104,242,486,0,0
44,420,512,7604,2,3,6,15,24,81,117,226,0,0,0
45,433,512,7744,1,3,9,14,28,57,120,243,0,0,0
46,528,1024,11352,2,3,8,15,30,58,134,192,428,0,0
47,731,1024,15716,2,4,7,15,29,55,99,193,521,0,0
48,435,512,8140,2,4,9,17,30,62,115,238,0,0,0
49,522,1024,11332,1,3,6,13,27,52,129,237,445,0,0
50,568,1024,11972,2,3,5,14,30,68,120,217,393,0,0
51,186,256,2692,1,3,8,14,27,54,106,0,0,0,0
52,507,1024,10808,2,3,7,14,26,67,134,227,483,0,0
53,668,1024,13700,2,4,7,16,35,53,126,229,406,0,0
54,464,512,8448,2,5,12,22,30,58,136,236,0,0,0
55,363,512,6584,1,2,7,11,35,62,114,219,0,0,0
56,435,512,8100,1,4,6,14,29,52,93,248,0,0,0
57,439,512,7788,1,3,9,15,25,69,128,193,0,0,0
58,574,1024,11980,2,3,7,15,26,60,100,240,458,0,0
59,705,1024,15312,3,4,7,13,33,63,94,224,387,0,0
60,392,512,7088,2,3,10,22,32,50,120,259,0,0,0
