Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,232,256,3624,2,5,9,16,28,69,109,0,0,0,0
2,421,512,7504,1,5,8,14,33,53,141,224,0,0,0
3,454,512,8056,2,4,11,15,31,65,116,262,0,0,0
4,423,512,7616,1,3,8,20,34,65,122,245,0,0,0
5,200,256,2920,1,3,7,13,26,53,105,0,0,0,0
6,350,512,6364,2,3,8,19,35,66,142,254,0,0,0
7,634,1024,13768,2,5,9,15,36,60,128,219,375,0,0
8,734,1024,15456,2,3,6,20,25,63,126,226,470,0,0
9,219,256,3260,1,3,8,16,31,62,135,0,0,0,0
10,422,512,7616,1,2,9,15,33,66,91,222,0,0,0
11,554,1024,11684,1,3,12,16,31,56,131,269,411,0,0
12,534,1024,11364,2,4,8,22,34,80,100,206,505,0,0
13,350,512,6528,2,5,10,27,30,67,132,249,0,0,0
14,607,1024,13116,1,3,6,17,44,60,106,202,432,0,0
15,379,512,7088,2,4,8,12,44,68,98,241,0,0,0
16,316,512,5496,1,4,7,25,39,85,97,239,0,0,0
17,194,256,3136,1,3,7,13,29,45,106,0,0,0,0
18,451,512,8336,1,4,6,22,28,54,122,229,0,0,0
19,550,1024,11636,2,3,10,23,32,68,122,249,381,0,0
20,421,512,7656,1,3,7,15,31,61,133,199,0,0,0
21,666,1024,14252,1,3,9,17,33,70,110,242,440,0,0
22,383,512,7052,1,5,7,17,33,55,123,245,0,0,0
23,334,512,5936,1,2,7,14,36,61,132,262,0,0,0
24,448,512,7952,1,2,8,18,33,59,141,263,0,0,0
25,578,1024,11996,1,2,6,13,28,60,117,242,427,0,0
26,620,1024,13116,1,4,9,17,27,55,123,235,504,0,0
27,456,512,8112,2,3,6,18,46,57,119,203,0,0,0
28,516,1024,10964,2,3,7,15,23,55,115,185,383,0,0
29,245,256,3540,3,5,11,15,35,86,109,0,0,0,0
30,695,1024,14324,2,4,7,21,41,48,103,243,461,0,0
31,260,256,3748,2,3,7,16,26,67,107,0,0,0,0
32,554,1024,11660,2,3,9,22,35,68,105,226,453,0,0
33,301,256,4552,1,4,12,16,31,62,119,0,0,0,0
34,342,512,5988,2,4,10,16,32,48,145,225,0,0,0
35,370,512,6508,1,5,10,15,59,68,131,227,0,0,0
36,515,1024,10844,2,4,11,19,33,54,105,224,418,0,0
37,338,512,6024,1,5,12,21,38,58,110,242,0,0,0
38,401,512,7128,2,3,7,13,27,61,101,221,0,0,0
39,475,512,8268,1,5,8,15,41,65,101,266,0,0,0
40,233,256,3444,2,5,11,14,50,68,125,0,0,0,0
41,595,1024,12528,1,5,8,14,32,59,109,222,376,0,0
42,419,512,7520,1,4,8,22,28,59,117,201,0,0,0
43,386,512,7064,2,4,7,15,28,47,108,241,0,0,0
44,130,128,1676,2,3,8,15,36,53,0,0,0,0,0
45,565,1024,11880,4,5,7,15,30,65,112,227,428,0,0
46,252,256,3772,2,5,9,14,32,57,127,0,0,0,0
47,203,256,3112,1,3,8,17,31,58,112,0,0,0,0
48,409,512,7272,2,3,6,13,33,52,103,197,0,0,0
49,784,1024,16804,2,5,10,17,29,62,123,255,451,0,0
50,299,512,5168,2,3,12,16,34,69,121,251,0,0,0
51,493,1024,10604,1,3,11,24,32,64,109,224,409,0,0
52,429,512,7672,1,3,6,20,32,84,110,263,0,0,0
53,371,512,6828,2,3,8,16,29,53,111,211,0,0,0
54,399,512,7260,2,3,5,14,30,51,105,219,0,0,0
55,490,512,9012,2,3,8,16,38,91,140,245,0,0,0
56,341,512,6148,2,3,9,18,32,56,144,188,0,0,0
57,452,512,8336,2,3,6,21,26,59,118,256,0,0,0
58,633,1024,13388,2,5,8,16,27,60,105,200,478,0,0
59,196,256,2908,1,6,10,15,45,59,116,0,0,0,0
60,428,512,7624,1,4,7,14,30,64,109,225,0,0,0
61,237,256,3508,1,4,7,16,32,54,119,0,0,0,0
62,560,1024,11724,1,7,13,17,51,67,122,230,434,0,0
63,708,1024,14948,2,5,7,24,29,76,146,269,434,0,0
64,335,256,5420,2,3,9,19,41,50,136,0,0,0,0
65,163,256,2328,1,3,11,20,30,62,105,0,0,0,0
66,401,512,6900,1,5,12,23,33,58,120,223,0,0,0
67,570,1024,11988,2,6,8,23,29,62,113,259,389,0,0
68,449,512,8040,1,3,5,14,27,53,129,225,0,0,0
69,270,256,4528,2,3,9,22,28,49,133,0,0,0,0
70,425,512,7924,1,4,7,14,28,69,124,231,0,0,0
71,484,512,8816,2,4,6,23,29,56,124,226,0,0,0
72,434,512,7708,1,4,10,13,33,73,131,222,0,0,0
73,577,1024,11864,2,3,7,14,31,58,115,240,410,0,0
74,417,512,7512,1,2,7,23,28,61,97,241,0,0,0
75,314,512,5836,1,2,8,19,38,54,108,288,0,0,0
76,540,1024,11632,1,5,9,17,32,63,119,239,426,0,0
77,412,512,7380,1,2,7,14,32,64,103,238,0,0,0
78,293,512,5276,2,4,8,18,32,51,110,229,0,0,0
79,452,512,8292,2,3,8,21,34,65,121,251,0,0,0
80,290,512,5396,1,4,8,20,29,59,105,209,0,0,0
81,445,512,7960,2,4,10,14,31,72,115,184,0,0,0
82,279,256,4148,2,4,7,23,36,49,115,0,0,0,0
83,521,512,9336,2,5,10,18,31,51,124,212,0,0,0
84,630,1024,13112,1,2,5,22,29,58,153,184,470,0,0
85,357,256,5864,1,4,10,15,28,56,127,0,0,0,0
86,627,1024,12900,1,5,7,13,30,61,109,249,388,0,0
87,335,512,5964,1,2,7,13,31,67,120,246,0,0,0
88,444,512,7980,1,4,9,16,32,60,122,261,0,0,0
89,455,512,8028,2,4,13,15,32,67,127,194,0,0,0
90,484,512,8628,4,6,10,20,30,58,117,185,0,0,0
91,223,256,3256,2,3,6,15,32,66,135,0,0,0,0
92,436,512,7884,2,5,11,22,26,66,117,205,0,0,0
93,472,512,8564,2,3,6,21,35,65,134,233,0,0,0
94,477,512,8692,1,4,10,14,36,73,101,217,0,0,0
95,366,512,6684,1,3,5,22,33,67,114,226,0,0,0
96,317,512,5504,1,3,10,22,28,83,123,246,0,0,0
97,247,512,4512,2,3,7,18,32,54,105,200,0,0,0
98,348,512,6032,2,5,7,20,28,63,122,252,0,0,0
99,445,512,7884,1,4,7,17,30,49,101,206,0,0,0
100,786,1024,16732,1,7,12,15,37,61,100,231,411,0,0
