Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,267,256,3684,3,6,13,26,36,62,126,0,0,0,0
2,250,256,3660,2,5,11,27,54,111,151,0,0,0,0
3,333,512,5748,3,7,13,25,35,70,153,200,0,0,0
4,238,256,3268,2,3,7,22,37,101,134,0,0,0,0
5,191,128,2316,3,6,8,25,43,60,0,0,0,0,0
6,196,256,2776,1,3,14,28,44,86,129,0,0,0,0
7,366,512,6144,3,7,19,34,46,99,124,260,0,0,0
8,379,512,6204,3,5,10,30,54,68,160,257,0,0,0
9,265,256,3708,2,6,19,29,40,103,144,0,0,0,0
10,254,256,3664,2,7,9,22,49,80,136,0,0,0,0
11,264,256,3884,2,8,13,26,64,98,171,0,0,0,0
12,304,512,5300,3,4,12,24,78,124,132,276,0,0,0
13,252,256,3424,1,4,6,19,28,67,151,0,0,0,0
14,374,512,6540,1,6,11,15,41,63,128,324,0,0,0
15,364,512,6604,2,6,11,21,34,81,137,274,0,0,0
16,320,512,5436,2,4,13,20,48,81,142,268,0,0,0
17,309,512,5248,2,5,8,21,35,78,113,234,0,0,0
18,377,512,6464,1,4,7,33,44,101,203,209,0,0,0
19,572,1024,11904,3,4,15,22,43,63,170,206,442,0,0
20,517,1024,10512,1,3,12,31,60,80,156,218,444,0,0
21,272,256,3992,2,5,12,22,48,66,177,0,0,0,0
22,277,256,4200,4,5,16,27,50,105,135,0,0,0,0
23,212,256,2828,2,5,13,19,62,85,190,0,0,0,0
24,409,512,6952,2,8,16,31,50,69,162,257,0,0,0
25,188,256,2484,2,6,19,36,53,121,146,0,0,0,0
26,312,512,5420,1,6,14,24,47,74,132,222,0,0,0
27,290,512,4984,2,3,11,21,52,93,184,269,0,0,0
28,353,512,6132,2,8,16,24,40,108,153,255,0,0,0
29,342,512,5960,2,6,14,18,66,143,199,320,0,0,0
30,380,512,6764,2,5,8,34,48,99,156,223,0,0,0
31,191,128,2284,2,8,15,24,50,105,0,0,0,0,0
32,371,512,6204,2,4,8,28,51,91,135,292,0,0,0
33,142,128,1444,1,6,18,28,50,92,0,0,0,0,0
34,383,512,6784,2,6,11,18,56,73,131,305,0,0,0
35,246,256,3540,2,6,17,20,37,100,131,0,0,0,0
36,322,512,5512,3,5,14,17,40,80,122,209,0,0,0
37,217,256,3096,2,6,10,21,56,66,136,0,0,0,0
38,324,256,5012,3,5,14,22,45,73,159,0,0,0,0
39,240,256,3248,2,3,7,29,47,76,133,0,0,0,0
40,449,512,7696,2,5,18,21,63,87,122,210,0,0,0
41,289,512,4868,2,5,18,44,50,106,137,219,0,0,0
42,581,1024,11948,2,7,12,32,43,71,107,248,426,0,0
43,299,256,4652,2,4,7,17,51,94,180,0,0,0,0
44,228,256,3264,2,4,7,16,47,72,142,0,0,0,0
45,507,1024,10464,2,3,8,31,56,71,141,249,412,0,0
46,228,256,3176,2,3,13,21,43,80,156,0,0,0,0
47,410,512,7536,2,5,12,21,34,96,158,209,0,0,0
48,191,256,2588,2,5,13,18,47,113,163,0,0,0,0
49,280,256,3928,2,4,17,19,65,80,168,0,0,0,0
50,107,128,1064,2,3,17,29,55,65,0,0,0,0,0
51,465,512,8116,1,7,9,34,56,98,156,322,0,0,0
52,281,256,4396,1,6,9,25,43,76,113,0,0,0,0
53,217,256,2996,3,7,12,29,40,76,146,0,0,0,0
54,384,512,6680,2,4,10,20,31,94,115,224,0,0,0
55,188,256,2460,1,4,15,25,49,72,182,0,0,0,0
56,419,512,7064,3,5,9,31,39,64,107,286,0,0,0
57,207,256,2916,2,6,14,32,39,49,135,0,0,0,0
58,206,256,2832,1,5,13,30,31,80,151,0,0,0,0
59,201,128,2332,2,8,16,33,54,65,0,0,0,0,0
60,183,128,2320,2,6,15,21,33,69,0,0,0,0,0
61,146,128,1596,1,7,12,37,54,72,0,0,0,0,0
62,282,256,4240,2,5,7,29,38,79,135,0,0,0,0
63,158,128,1872,1,6,11,33,43,65,0,0,0,0,0
64,548,1024,11504,2,3,10,23,42,82,133,276,430,0,0
65,201,256,2800,2,6,11,20,40,90,161,0,0,0,0
66,287,256,4252,2,4,12,18,44,78,165,0,0,0,0
67,317,512,5328,2,3,9,34,45,83,139,231,0,0,0
68,186,256,2496,3,5,12,14,40,58,116,0,0,0,0
69,351,512,6036,1,5,9,31,48,120,133,226,0,0,0
70,388,512,6916,2,3,13,23,38,61,154,242,0,0,0
71,339,512,5552,3,6,8,27,44,78,150,223,0,0,0
72,175,256,2328,3,7,12,19,32,96,127,0,0,0,0
73,384,512,6712,2,3,7,25,28,79,183,340,0,0,0
74,379,512,6352,1,4,12,24,53,121,144,300,0,0,0
75,314,256,4848,1,3,14,31,56,80,140,0,0,0,0
76,248,256,3616,2,3,11,14,35,97,131,0,0,0,0
77,317,512,5436,2,3,12,25,39,79,159,255,0,0,0
78,320,512,5328,2,3,11,19,41,105,133,248,0,0,0
79,359,512,6612,2,4,9,23,55,94,154,234,0,0,0
80,136,128,1396,2,4,9,36,51,71,0,0,0,0,0
81,167,128,1880,2,3,13,28,57,156,0,0,0,0,0
82,325,512,5436,2,6,11,30,57,69,158,223,0,0,0
83,130,128,1416,2,8,9,18,46,93,0,0,0,0,0
84,224,256,3136,2,4,10,22,43,74,122,0,0,0,0
85,188,128,2192,1,4,15,18,41,78,0,0,0,0,0
86,249,256,3644,1,3,14,34,58,77,154,0,0,0,0
87,435,512,7272,1,6,9,20,36,138,204,269,0,0,0
88,221,256,3060,2,4,6,16,41,57,157,0,0,0,0
89,160,256,2132,1,6,17,37,45,97,128,0,0,0,0
90,337,512,5820,2,5,18,30,56,73,141,236,0,0,0
91,600,1024,12284,2,7,9,27,48,78,162,226,432,0,0
92,496,1024,10348,1,3,16,27,57,60,132,239,448,0,0
93,171,128,2032,1,5,9,23,41,64,0,0,0,0,0
94,405,512,7084,2,4,14,37,44,95,176,248,0,0,0
95,286,512,4800,2,6,15,21,43,85,152,225,0,0,0
96,304,256,4724,2,5,6,25,45,67,160,0,0,0,0
97,175,128,1940,3,4,9,26,51,71,0,0,0,0,0
98,120,64,1096,4,8,15,27,35,0,0,0,0,0,0
99,376,512,6192,2,7,10,22,40,103,177,213,0,0,0
100,349,512,6140,2,5,7,21,45,69,167,299,0,0,0
