Iteration,Game Iterations,Max Tile,Score
1,612,1024,12596
2,781,1024,16688
3,186,256,2752
4,647,1024,13040
5,711,1024,15320
6,1054,2048,25888
7,711,1024,15316
8,687,1024,14036
9,220,256,3268
10,457,512,8308
11,386,512,6868
12,534,1024,11300
13,429,512,7752
14,364,512,6728
15,255,512,4592
16,430,512,7624
17,455,512,8552
18,504,1024,10712
19,262,512,4704
20,397,512,7192
21,704,1024,14928
22,302,512,5340
23,281,512,5040
24,234,256,3656
25,236,256,3344
26,462,512,8200
27,228,256,3268
28,389,512,7012
29,548,1024,11504
30,761,1024,16104
31,456,512,7928
32,413,512,7540
33,656,1024,13920
34,367,512,6704
35,261,256,3940
36,428,512,7932
37,473,1024,10260
38,434,1024,9532
39,766,2048,20140
40,723,1024,15392
41,325,512,5800
42,249,256,3700
43,407,512,7292
44,609,1024,12564
45,363,512,6596
46,355,512,6552
47,327,512,5804
48,399,512,7188
49,456,512,8080
50,200,256,3044
51,387,512,6876
52,407,512,7340
53,372,512,6816
54,552,1024,11652
55,367,512,6688
56,645,1024,14056
57,714,1024,14972
58,817,2048,20620
59,233,512,4332
60,718,1024,15112
61,634,1024,14132
62,579,1024,12248
63,686,1024,14672
64,339,512,5960
65,492,512,8712
66,984,2048,23948
67,978,2048,24168
68,555,1024,11728
69,354,512,6468
70,784,1024,16528
71,730,1024,15668
72,622,1024,12808
73,1092,2048,26468
74,262,512,4704
75,684,1024,14784
76,438,1024,9648
77,786,1024,16652
78,248,256,3756
79,171,256,2564
80,474,512,8576
81,706,1024,15260
82,376,512,6828
83,418,512,7592
84,535,1024,11480
85,507,1024,11128
86,732,1024,15764
87,401,512,7068
88,438,512,7912
89,619,1024,12868
90,603,1024,12436
91,456,512,8256
92,157,256,2392
93,778,1024,16492
94,525,1024,11076
95,344,512,6296
96,296,512,5172
97,389,512,6700
98,237,256,3572
99,427,512,7596
100,439,512,7732
