Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096,
1,79,64,708,2,5,11,25,55,0,0,0,0,0,0
2,64,64,540,2,5,11,32,45,0,0,0,0,0,0
3,78,64,684,1,3,9,26,61,0,0,0,0,0,0
4,45,64,388,3,4,12,32,44,0,0,0,0,0,0
5,107,128,1264,2,3,5,22,47,63,0,0,0,0,0
6,89,128,1000,1,3,11,29,38,83,0,0,0,0,0
7,70,128,792,2,4,6,25,28,55,0,0,0,0,0
8,68,64,596,1,4,7,24,57,0,0,0,0,0,0
9,57,64,484,2,3,16,23,38,0,0,0,0,0,0
10,115,128,1500,2,3,6,32,45,70,0,0,0,0,0
11,89,128,952,2,3,15,30,39,61,0,0,0,0,0
12,87,128,1052,2,3,11,21,52,68,0,0,0,0,0
13,100,128,1176,1,6,10,25,45,79,0,0,0,0,0
14,107,128,1224,2,4,11,22,42,66,0,0,0,0,0
15,84,64,832,3,5,8,26,42,0,0,0,0,0,0
16,101,128,1084,2,4,11,34,59,64,0,0,0,0,0
17,99,128,1200,2,6,8,24,32,71,0,0,0,0,0
18,81,64,696,2,8,15,31,33,0,0,0,0,0,0
19,87,64,868,2,4,10,25,51,0,0,0,0,0,0
20,65,64,540,3,6,11,22,38,0,0,0,0,0,0
21,77,128,904,1,7,9,22,45,71,0,0,0,0,0
22,54,64,456,2,4,11,28,45,0,0,0,0,0,0
23,77,64,668,2,3,11,19,37,0,0,0,0,0,0
24,111,128,1240,1,4,11,24,40,75,0,0,0,0,0
25,82,64,756,2,5,11,27,41,0,0,0,0,0,0
26,98,128,1104,2,3,8,23,51,77,0,0,0,0,0
27,66,64,600,2,3,10,17,42,0,0,0,0,0,0
28,81,64,764,2,5,15,24,41,0,0,0,0,0,0
29,56,32,360,2,4,16,22,0,0,0,0,0,0,0
30,42,32,244,2,4,14,19,0,0,0,0,0,0,0
31,28,16,88,2,4,24,0,0,0,0,0,0,0,0
32,89,64,828,2,7,13,16,45,0,0,0,0,0,0
33,96,128,1112,2,5,18,31,39,68,0,0,0,0,0
34,65,64,568,2,8,15,28,42,0,0,0,0,0,0
35,126,128,1432,1,2,10,28,56,74,0,0,0,0,0
36,64,64,576,2,4,9,15,51,0,0,0,0,0,0
37,77,64,656,1,2,10,18,50,0,0,0,0,0,0
38,111,128,1288,3,4,10,14,49,71,0,0,0,0,0
39,81,64,808,2,3,8,34,38,0,0,0,0,0,0
40,129,128,1552,2,5,15,27,53,79,0,0,0,0,0
41,95,128,1116,2,6,14,26,32,73,0,0,0,0,0
42,111,128,1232,2,3,14,19,34,62,0,0,0,0,0
43,71,64,624,2,3,15,27,43,0,0,0,0,0,0
44,162,256,2360,3,6,17,19,47,62,114,0,0,0,0
45,118,128,1332,2,4,16,20,38,59,0,0,0,0,0
46,92,128,1008,2,4,11,27,37,58,0,0,0,0,0
47,82,128,888,4,5,10,32,38,79,0,0,0,0,0
48,50,32,340,3,5,13,25,0,0,0,0,0,0,0
49,84,128,948,1,4,10,28,36,67,0,0,0,0,0
50,101,128,1180,2,3,16,23,40,75,0,0,0,0,0
51,60,64,496,3,5,13,23,33,0,0,0,0,0,0
52,60,64,540,1,4,11,17,42,0,0,0,0,0,0
53,58,64,484,1,5,12,20,42,0,0,0,0,0,0
54,59,64,496,2,5,13,21,38,0,0,0,0,0,0
55,85,64,932,1,5,12,17,43,0,0,0,0,0,0
56,144,128,1868,2,6,19,29,38,67,0,0,0,0,0
57,47,32,328,2,4,7,20,0,0,0,0,0,0,0
58,56,64,480,2,4,11,20,48,0,0,0,0,0,0
59,108,64,1176,1,6,13,23,40,0,0,0,0,0,0
60,61,32,444,2,4,14,30,0,0,0,0,0,0,0
61,82,64,796,1,2,7,22,38,0,0,0,0,0,0
62,71,128,804,2,4,7,15,38,65,0,0,0,0,0
63,91,128,1072,2,4,13,27,36,87,0,0,0,0,0
64,33,32,176,2,4,13,29,0,0,0,0,0,0,0
