Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,409,512,6992,2,5,11,30,48,116,140,385,0,0,0
2,328,256,4992,1,3,12,17,35,91,119,0,0,0,0
3,260,256,3668,2,3,10,20,52,76,127,0,0,0,0
4,295,256,4576,1,3,10,36,45,75,164,0,0,0,0
5,188,256,2412,1,13,16,28,38,81,154,0,0,0,0
6,223,256,3268,2,8,14,17,36,61,169,0,0,0,0
7,377,512,6744,4,6,10,29,40,70,143,334,0,0,0
8,99,64,832,2,4,9,21,80,0,0,0,0,0,0
9,210,256,2880,2,5,9,14,51,61,123,0,0,0,0
10,371,512,6568,2,4,11,24,37,114,132,243,0,0,0
11,320,256,4628,3,4,12,23,39,85,176,0,0,0,0
12,565,1024,11676,2,5,13,31,36,86,153,277,442,0,0
13,254,256,3520,2,4,9,30,55,121,150,0,0,0,0
14,402,512,6984,2,5,9,21,42,121,160,229,0,0,0
15,441,512,7652,2,4,17,24,40,113,163,252,0,0,0
16,413,512,7172,2,7,12,22,38,62,130,327,0,0,0
17,250,256,3584,2,4,10,23,34,73,132,0,0,0,0
18,135,128,1476,2,6,11,16,65,90,0,0,0,0,0
19,330,256,4980,2,3,7,24,39,79,144,0,0,0,0
20,424,512,7120,2,4,9,19,60,98,129,328,0,0,0
21,147,128,1620,2,3,12,17,34,94,0,0,0,0,0
22,255,256,3652,2,7,17,36,49,122,159,0,0,0,0
23,215,256,3108,2,9,11,23,69,74,129,0,0,0,0
24,235,256,3252,2,5,8,35,36,118,123,0,0,0,0
25,371,512,6228,1,3,10,23,56,95,142,256,0,0,0
26,151,128,1580,3,4,12,24,58,94,0,0,0,0,0
27,340,512,5804,2,3,10,21,52,82,141,302,0,0,0
28,426,512,7288,2,4,6,18,56,94,177,288,0,0,0
29,415,512,7240,2,3,19,21,45,67,181,299,0,0,0
30,360,512,6268,2,4,12,31,51,73,117,256,0,0,0
31,147,128,1680,4,5,9,28,63,98,0,0,0,0,0
32,155,128,1656,2,3,7,21,36,86,0,0,0,0,0
33,325,512,5504,2,4,10,33,46,70,117,234,0,0,0
34,419,512,6944,2,9,11,18,45,98,169,223,0,0,0
35,443,512,7780,2,3,10,22,51,65,114,303,0,0,0
36,268,256,4136,3,8,16,19,55,100,141,0,0,0,0
37,91,64,800,1,5,8,23,57,0,0,0,0,0,0
38,386,512,6732,2,3,15,34,41,91,140,287,0,0,0
39,372,512,6224,2,7,16,25,51,78,104,236,0,0,0
40,190,128,2320,3,5,8,27,55,71,0,0,0,0,0
41,350,512,6192,1,4,12,21,46,81,161,198,0,0,0
42,427,512,7408,2,4,13,20,61,72,121,267,0,0,0
43,179,128,2140,2,7,13,28,58,113,0,0,0,0,0
44,370,256,5588,2,5,12,29,42,93,135,0,0,0,0
45,312,512,5300,2,6,12,16,40,71,142,214,0,0,0
46,344,256,5420,2,3,14,17,56,91,140,0,0,0,0
47,355,512,6040,2,8,11,14,53,98,116,253,0,0,0
48,236,256,3152,2,4,7,24,33,77,170,0,0,0,0
49,232,256,3444,2,4,13,18,50,101,181,0,0,0,0
50,174,128,2132,1,2,7,19,47,62,0,0,0,0,0
51,366,512,6592,2,5,13,31,47,78,153,229,0,0,0
52,201,128,2468,3,7,12,28,39,102,0,0,0,0,0
53,482,512,8624,2,3,11,23,61,74,167,267,0,0,0
54,262,256,3700,2,3,11,16,50,59,141,0,0,0,0
55,260,256,3756,2,6,16,26,50,66,176,0,0,0,0
56,337,512,6076,1,3,10,28,35,115,182,198,0,0,0
57,239,256,3244,2,8,14,22,40,97,133,0,0,0,0
58,416,512,7112,2,6,8,30,49,66,223,276,0,0,0
59,501,1024,10356,2,5,11,35,46,79,129,265,400,0,0
60,377,512,6632,2,5,18,25,48,78,121,255,0,0,0
61,126,128,1244,2,4,13,34,46,112,0,0,0,0,0
62,294,512,5032,2,7,15,20,38,85,216,229,0,0,0
63,410,512,7032,3,6,16,34,45,85,124,227,0,0,0
64,342,256,5076,2,6,12,28,46,71,143,0,0,0,0
65,237,256,3320,2,5,12,23,57,94,148,0,0,0,0
66,232,256,3616,2,5,12,33,40,69,132,0,0,0,0
67,275,256,3916,2,5,14,30,45,77,138,0,0,0,0
68,596,1024,12376,1,2,12,29,35,86,145,239,464,0,0
69,242,256,3380,3,5,8,31,36,101,111,0,0,0,0
70,228,256,3112,2,4,8,19,45,100,130,0,0,0,0
71,704,1024,14584,2,3,10,21,61,100,150,229,459,0,0
72,405,512,7120,2,3,5,23,33,89,163,248,0,0,0
73,218,256,3132,2,6,16,27,51,58,133,0,0,0,0
74,388,512,6724,3,7,12,23,60,102,131,268,0,0,0
75,271,256,3924,2,4,11,26,28,65,109,0,0,0,0
76,393,512,6824,1,3,9,24,53,131,142,247,0,0,0
77,344,512,5584,3,5,13,22,37,96,152,236,0,0,0
78,207,256,2832,1,2,11,18,44,84,135,0,0,0,0
79,529,1024,10752,2,3,15,20,37,78,118,308,486,0,0
80,356,512,5796,2,5,13,25,43,73,127,256,0,0,0
81,227,256,3232,4,7,10,19,46,79,148,0,0,0,0
82,541,1024,11244,2,7,13,20,43,82,153,283,441,0,0
83,291,256,4328,1,4,9,22,50,93,183,0,0,0,0
84,452,512,8052,2,4,13,15,60,96,178,238,0,0,0
85,247,256,3340,1,3,7,32,74,93,134,0,0,0,0
86,344,512,5920,1,5,10,16,61,79,144,302,0,0,0
87,397,512,6752,2,5,9,18,55,85,128,233,0,0,0
88,641,1024,13160,2,4,8,14,29,68,121,253,416,0,0
89,179,128,2256,2,5,10,25,41,74,0,0,0,0,0
90,316,512,5244,2,5,8,18,46,119,142,275,0,0,0
91,239,256,3332,2,6,12,16,48,67,140,0,0,0,0
92,439,512,7580,3,5,15,39,58,111,131,278,0,0,0
93,560,1024,11380,2,7,8,29,52,66,131,302,492,0,0
94,230,256,3348,1,2,12,25,47,77,121,0,0,0,0
95,395,512,6856,1,3,8,17,42,99,146,351,0,0,0
96,377,512,6716,3,5,13,33,42,77,127,294,0,0,0
97,432,512,7744,2,5,10,20,43,66,132,266,0,0,0
98,309,512,5188,2,4,16,26,63,82,115,219,0,0,0
